https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1641772800000,2022-01-10 00:00:00,BNB/USDT,438.310,445.210,406.460,424.540,1611421.86,682635903.58876,820184
1641686400000,2022-01-09 00:00:00,BNB/USDT,429.600,444.140,426.720,438.330,850190.24,369560684.40417,524889
1641600000000,2022-01-08 00:00:00,BNB/USDT,448.100,459.650,415.460,429.590,1252328.01,547408923.31827,751167
1641513600000,2022-01-07 00:00:00,BNB/USDT,472.470,473.760,437.080,448.100,1506628.68,678793229.85588,856101
1641427200000,2022-01-06 00:00:00,BNB/USDT,474.000,480.960,458.650,472.460,1298011.04,608913792.87330,714771
1641340800000,2022-01-05 00:00:00,BNB/USDT,506.880,515.920,456.200,473.950,1450747.64,717300047.29104,824190
1641254400000,2022-01-04 00:00:00,BNB/USDT,512.240,519.850,502.000,506.880,1042411.20,533189808.14222,706472
1641168000000,2022-01-03 00:00:00,BNB/USDT,530.920,533.000,510.410,512.240,795766.94,415267551.48635,585878
1641081600000,2022-01-02 00:00:00,BNB/USDT,527.360,533.900,518.010,530.910,572079.85,300965349.58932,474929
1640995200000,2022-01-01 00:00:00,BNB/USDT,511.550,528.160,511.430,527.340,603346.10,313448234.18230,468560
1640908800000,2021-12-31 00:00:00,BNB/USDT,518.400,528.000,506.010,511.560,898734.52,464024529.57423,645189
1640822400000,2021-12-30 00:00:00,BNB/USDT,514.490,527.590,508.000,518.410,724739.45,376085142.53798,544138
1640736000000,2021-12-29 00:00:00,BNB/USDT,534.120,540.550,510.090,514.490,776927.14,409872878.15978,625974
1640649600000,2021-12-28 00:00:00,BNB/USDT,563.790,563.980,528.310,534.130,1282144.16,701143879.27229,876503
1640563200000,2021-12-27 00:00:00,BNB/USDT,546.500,571.990,543.200,563.790,973552.41,543570069.94651,705674
1640476800000,2021-12-26 00:00:00,BNB/USDT,547.500,549.000,536.000,546.430,618507.66,336133900.99239,479520
1640390400000,2021-12-25 00:00:00,BNB/USDT,542.210,550.950,539.290,547.500,529846.08,289164731.91400,447547
1640304000000,2021-12-24 00:00:00,BNB/USDT,548.940,554.460,537.080,542.200,819032.07,447545463.65596,620663
1640217600000,2021-12-23 00:00:00,BNB/USDT,533.750,552.460,524.330,548.920,938808.37,504218564.85736,707431
1640131200000,2021-12-22 00:00:00,BNB/USDT,528.510,545.490,527.250,533.740,854668.14,458109670.12975,701036
1640044800000,2021-12-21 00:00:00,BNB/USDT,523.960,536.010,517.170,528.460,784766.17,414496678.43389,620499
1639958400000,2021-12-20 00:00:00,BNB/USDT,529.720,534.930,506.000,523.960,892049.82,462766022.17850,761003
1639872000000,2021-12-19 00:00:00,BNB/USDT,533.680,544.820,527.420,529.710,687353.33,368001699.36105,593670
1639785600000,2021-12-18 00:00:00,BNB/USDT,525.510,537.870,516.580,533.680,748482.54,395589074.82677,658349
1639699200000,2021-12-17 00:00:00,BNB/USDT,526.010,536.040,510.810,525.500,1196478.07,628868708.89036,884611
1639612800000,2021-12-16 00:00:00,BNB/USDT,541.210,545.340,524.650,526.000,948522.62,509000515.08843,715853
1639526400000,2021-12-15 00:00:00,BNB/USDT,527.830,546.540,501.500,541.180,1551135.35,817012417.92832,1125241
1639440000000,2021-12-14 00:00:00,BNB/USDT,520.770,534.900,509.780,527.860,1556236.83,813821402.69027,1160122
1639353600000,2021-12-13 00:00:00,BNB/USDT,569.590,571.650,510.550,520.750,1397026.25,751560587.88195,995388
1639267200000,2021-12-12 00:00:00,BNB/USDT,564.110,574.410,558.510,569.580,718484.56,406373122.64137,684300
1639180800000,2021-12-11 00:00:00,BNB/USDT,551.850,572.510,541.410,564.120,1100350.28,612271733.37876,921007
1639094400000,2021-12-10 00:00:00,BNB/USDT,569.270,593.940,550.000,551.940,1399292.18,801979128.60129,1040522
1639008000000,2021-12-09 00:00:00,BNB/USDT,607.050,616.680,567.290,569.260,1407982.36,832234951.99653,1013967
1638921600000,2021-12-08 00:00:00,BNB/USDT,578.340,607.230,566.420,607.050,1363455.72,796766810.60986,1047599
1638835200000,2021-12-07 00:00:00,BNB/USDT,586.770,592.590,571.450,578.340,1243614.83,726054542.37347,1074086
1638748800000,2021-12-06 00:00:00,BNB/USDT,557.640,592.690,533.220,586.800,2328610.59,1298647782.92697,1633389
1638662400000,2021-12-05 00:00:00,BNB/USDT,568.070,581.630,541.100,557.650,1433343.11,805246947.08321,1058889
1638576000000,2021-12-04 00:00:00,BNB/USDT,595.180,596.290,484.180,568.070,3061320.83,1668132596.41578,1763829
1638489600000,2021-12-03 00:00:00,BNB/USDT,620.370,628.290,570.770,595.170,1708149.77,1034168949.72726,1102829
1638403200000,2021-12-02 00:00:00,BNB/USDT,627.450,630.950,605.500,620.370,1365181.55,847433918.50736,932294
1638316800000,2021-12-01 00:00:00,BNB/USDT,622.650,650.750,619.230,627.450,1794699.14,1141581459.29868,1085015
1638230400000,2021-11-30 00:00:00,BNB/USDT,624.250,635.400,603.760,622.590,1794704.69,1115552458.94990,1231396
1638144000000,2021-11-29 00:00:00,BNB/USDT,611.450,629.710,602.250,624.250,1384038.91,853791124.39515,960332
1638057600000,2021-11-28 00:00:00,BNB/USDT,600.180,612.990,571.800,611.520,1819230.49,1076056016.85498,1189128
1637971200000,2021-11-27 00:00:00,BNB/USDT,587.650,621.160,583.900,600.190,1641391.03,989638267.87612,1038649
1637884800000,2021-11-26 00:00:00,BNB/USDT,639.350,658.940,564.490,587.710,3394718.12,2034537737.78406,1780936
1637798400000,2021-11-25 00:00:00,BNB/USDT,590.560,647.490,587.670,639.300,1874586.40,1169302527.01775,1206246
1637712000000,2021-11-24 00:00:00,BNB/USDT,591.590,594.950,577.310,590.560,1336008.74,783531278.61779,870099
1637625600000,2021-11-23 00:00:00,BNB/USDT,559.780,605.700,558.160,591.600,1587689.70,927092256.47434,1029935
