https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1615766400000,2021-03-15 00:00:00,XRP/USDT,0.4394,0.4490,0.4226,0.4361,840041993.1,366812579.10610,475186
1615680000000,2021-03-14 00:00:00,XRP/USDT,0.4587,0.4624,0.4385,0.4394,621703932.3,279903515.20335,329559
1615593600000,2021-03-13 00:00:00,XRP/USDT,0.4399,0.4677,0.4323,0.4586,820249044.0,370629108.80446,426988
1615507200000,2021-03-12 00:00:00,XRP/USDT,0.4526,0.4657,0.4216,0.4399,1030092042.6,458963256.30899,523340
1615420800000,2021-03-11 00:00:00,XRP/USDT,0.4621,0.4649,0.4392,0.4527,848294260.1,383887622.23717,453325
1615334400000,2021-03-10 00:00:00,XRP/USDT,0.4859,0.4901,0.4520,0.4621,1025882613.1,480566399.48784,521165
1615248000000,2021-03-09 00:00:00,XRP/USDT,0.4749,0.4885,0.4714,0.4858,723233389.8,347610686.54985,361079
1615161600000,2021-03-08 00:00:00,XRP/USDT,0.4661,0.4907,0.4552,0.4749,1137098838.0,538547400.25129,557344
1615075200000,2021-03-07 00:00:00,XRP/USDT,0.4631,0.4696,0.4564,0.4660,484580276.3,224757837.24895,265912
1614988800000,2021-03-06 00:00:00,XRP/USDT,0.4551,0.4717,0.4494,0.4630,677081122.8,311733043.15172,371827
1614902400000,2021-03-05 00:00:00,XRP/USDT,0.4816,0.4853,0.4460,0.4551,1149828360.1,527852360.72739,619631
1614816000000,2021-03-04 00:00:00,XRP/USDT,0.4489,0.4950,0.4332,0.4816,2087293991.9,969769662.26523,1034335
1614729600000,2021-03-03 00:00:00,XRP/USDT,0.4360,0.4691,0.4300,0.4486,918705249.5,413886367.83129,459767
1614643200000,2021-03-02 00:00:00,XRP/USDT,0.4459,0.4557,0.4222,0.4361,884158270.3,387220927.96288,439837
1614556800000,2021-03-01 00:00:00,XRP/USDT,0.4159,0.4549,0.4122,0.4458,871852479.9,377226294.65951,441554
1614470400000,2021-02-28 00:00:00,XRP/USDT,0.4360,0.4391,0.3926,0.4159,1140906829.3,472320310.19608,589329
1614384000000,2021-02-27 00:00:00,XRP/USDT,0.4281,0.4594,0.4268,0.4361,934914054.5,412974472.74276,482419
1614297600000,2021-02-26 00:00:00,XRP/USDT,0.4356,0.4510,0.4102,0.4279,1454940409.9,626305376.99973,789592
1614211200000,2021-02-25 00:00:00,XRP/USDT,0.4688,0.4828,0.4242,0.4358,1095290122.6,509110294.57712,562461
1614124800000,2021-02-24 00:00:00,XRP/USDT,0.4765,0.5007,0.4512,0.4687,1587641244.6,759356369.31103,863228
1614038400000,2021-02-23 00:00:00,XRP/USDT,0.5669,0.5727,0.3523,0.4765,4758792739.8,2236132040.47664,3627591
1613952000000,2021-02-22 00:00:00,XRP/USDT,0.5460,0.6535,0.5076,0.5668,6412904082.4,3719543875.69850,4093692
1613865600000,2021-02-21 00:00:00,XRP/USDT,0.5118,0.5601,0.5030,0.5459,1662163078.9,887224840.52758,973910
1613779200000,2021-02-20 00:00:00,XRP/USDT,0.5666,0.5855,0.4684,0.5117,2010329977.1,1094298235.97598,1176273
1613692800000,2021-02-19 00:00:00,XRP/USDT,0.5330,0.5847,0.5128,0.5667,1792625220.9,989184888.13469,923584
1613606400000,2021-02-18 00:00:00,XRP/USDT,0.5361,0.5614,0.5186,0.5328,1286010664.4,695313867.93545,679527
1613520000000,2021-02-17 00:00:00,XRP/USDT,0.5202,0.5600,0.4930,0.5360,2034112211.0,1083771338.58340,1030419
1613433600000,2021-02-16 00:00:00,XRP/USDT,0.5500,0.5814,0.4800,0.5203,2653177482.1,1423323513.78936,1401588
1613347200000,2021-02-15 00:00:00,XRP/USDT,0.5935,0.6056,0.5000,0.5500,2664440095.4,1490241885.66156,1492655
1613260800000,2021-02-14 00:00:00,XRP/USDT,0.6348,0.6428,0.5600,0.5935,2115541404.8,1276437289.35128,1231703
1613174400000,2021-02-13 00:00:00,XRP/USDT,0.6108,0.6460,0.5401,0.6348,3442443936.4,2087576206.15009,1931300
1613088000000,2021-02-12 00:00:00,XRP/USDT,0.5291,0.6216,0.5204,0.6107,3173099691.5,1820550463.07440,1676167
1613001600000,2021-02-11 00:00:00,XRP/USDT,0.5055,0.5379,0.5009,0.5292,1748899485.4,909324521.09123,913425
1612915200000,2021-02-10 00:00:00,XRP/USDT,0.4772,0.5447,0.4400,0.5055,4177386964.8,2091873874.90414,2124114
1612828800000,2021-02-09 00:00:00,XRP/USDT,0.4523,0.4923,0.4500,0.4773,1974627674.3,925104303.84563,918612
1612742400000,2021-02-08 00:00:00,XRP/USDT,0.4188,0.4724,0.4131,0.4522,1730125643.9,765016061.55634,816506
1612656000000,2021-02-07 00:00:00,XRP/USDT,0.4441,0.4526,0.3878,0.4188,2064581819.8,878460745.79039,938050
1612569600000,2021-02-06 00:00:00,XRP/USDT,0.4534,0.4592,0.4260,0.4442,1568085592.8,693427942.18029,727734
1612483200000,2021-02-05 00:00:00,XRP/USDT,0.4463,0.4735,0.4236,0.4535,2859549892.2,1277698017.12320,1430585
1612396800000,2021-02-04 00:00:00,XRP/USDT,0.3979,0.4819,0.3800,0.4462,4293031635.1,1810257934.33609,2005862
1612310400000,2021-02-03 00:00:00,XRP/USDT,0.3734,0.4200,0.3730,0.3980,2856599419.9,1115417179.82259,1305014
1612224000000,2021-02-02 00:00:00,XRP/USDT,0.3716,0.4120,0.3400,0.3734,5080622188.3,1912713263.44057,2539815
1612137600000,2021-02-01 00:00:00,XRP/USDT,0.4959,0.7577,0.3600,0.3714,20031352048.6,10723890905.09613,11216312
1612051200000,2021-01-31 00:00:00,XRP/USDT,0.4448,0.5144,0.3884,0.4959,9867521095.6,4547869727.09656,5217846
1611964800000,2021-01-30 00:00:00,XRP/USDT,0.2833,0.5200,0.2778,0.4445,11680659562.7,4607203582.83184,5199584
1611878400000,2021-01-29 00:00:00,XRP/USDT,0.2645,0.3179,0.2601,0.2833,2741305541.4,785163364.63179,1027506
1611792000000,2021-01-28 00:00:00,XRP/USDT,0.2508,0.2705,0.2470,0.2645,605421817.6,157213103.73745,335033
1611705600000,2021-01-27 00:00:00,XRP/USDT,0.2686,0.2691,0.2440,0.2507,749040833.0,190953230.62135,365712
1611619200000,2021-01-26 00:00:00,XRP/USDT,0.2678,0.2713,0.2581,0.2686,516579916.7,137356915.12008,305430
1611532800000,2021-01-25 00:00:00,XRP/USDT,0.2739,0.2859,0.2667,0.2678,704289558.6,194500942.38808,419159
1611446400000,2021-01-24 00:00:00,XRP/USDT,0.2721,0.2783,0.2683,0.2739,506266833.2,138510332.07155,373680
1611360000000,2021-01-23 00:00:00,XRP/USDT,0.2724,0.2839,0.2657,0.2720,671514716.8,184026112.99132,443888
1611273600000,2021-01-22 00:00:00,XRP/USDT,0.2683,0.2786,0.2387,0.2724,1208551246.7,319791284.07515,692264
1611187200000,2021-01-21 00:00:00,XRP/USDT,0.2960,0.3087,0.2597,0.2684,1481911012.8,422365847.18563,787620
1611100800000,2021-01-20 00:00:00,XRP/USDT,0.2943,0.3125,0.2796,0.2960,1384456147.7,404795121.67770,758371
1611014400000,2021-01-19 00:00:00,XRP/USDT,0.2858,0.3298,0.2845,0.2942,2002707295.5,612259062.95639,924185
1610928000000,2021-01-18 00:00:00,XRP/USDT,0.2777,0.2896,0.2717,0.2857,785218817.4,221186990.49147,496108
1610841600000,2021-01-17 00:00:00,XRP/USDT,0.2796,0.2861,0.2688,0.2777,772816662.1,214160401.31432,508313
1610755200000,2021-01-16 00:00:00,XRP/USDT,0.2801,0.2976,0.2751,0.2797,966479844.0,275530700.95984,587841
1610668800000,2021-01-15 00:00:00,XRP/USDT,0.2969,0.3043,0.2615,0.2803,1293159611.9,366883403.24675,686361
1610582400000,2021-01-14 00:00:00,XRP/USDT,0.3061,0.3097,0.2833,0.2970,1324252159.7,391718658.28433,680431
