https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1641686400000,2022-01-09 00:00:00,LINK/USDT,25.312,28.691,25.088,27.538,63636184.46,1731331040.51422,2573413
1641600000000,2022-01-08 00:00:00,LINK/USDT,25.979,27.330,23.500,25.306,54144096.39,1384737043.07449,1974176
1641513600000,2022-01-07 00:00:00,LINK/USDT,25.379,27.328,22.626,25.975,74402194.02,1863710845.35068,2461663
1641427200000,2022-01-06 00:00:00,LINK/USDT,25.218,25.963,23.323,25.379,63469542.01,1551232276.72211,2154054
1641340800000,2022-01-05 00:00:00,LINK/USDT,23.426,27.457,22.336,25.222,82277030.54,2094544214.24672,2510988
1641254400000,2022-01-04 00:00:00,LINK/USDT,23.699,24.472,22.773,23.426,30650136.06,726453395.15842,1071339
1641168000000,2022-01-03 00:00:00,LINK/USDT,21.852,23.745,21.237,23.697,28814987.84,650318096.62298,992982
1641081600000,2022-01-02 00:00:00,LINK/USDT,20.738,22.193,20.559,21.854,18489195.04,396328338.30186,665534
1640995200000,2022-01-01 00:00:00,LINK/USDT,19.514,20.791,19.508,20.736,11482289.23,230111463.61101,428770
1640908800000,2021-12-31 00:00:00,LINK/USDT,19.926,20.632,19.021,19.514,15609114.76,311249394.06991,562835
1640822400000,2021-12-30 00:00:00,LINK/USDT,19.736,20.430,19.148,19.930,16336983.19,323774035.64760,614803
1640736000000,2021-12-29 00:00:00,LINK/USDT,20.377,20.960,19.504,19.734,21143141.40,431043571.43176,759136
1640649600000,2021-12-28 00:00:00,LINK/USDT,23.017,23.022,20.295,20.379,26026658.65,567100218.95564,883664
1640563200000,2021-12-27 00:00:00,LINK/USDT,22.986,24.493,22.745,23.016,20016982.93,472811744.39214,722906
1640476800000,2021-12-26 00:00:00,LINK/USDT,22.117,23.588,21.111,22.986,20024483.64,448724848.01518,709924
1640390400000,2021-12-25 00:00:00,LINK/USDT,21.483,22.389,21.284,22.117,10474758.51,228370574.14486,410372
1640304000000,2021-12-24 00:00:00,LINK/USDT,22.166,22.664,21.200,21.480,15999994.57,352866187.91449,639743
1640217600000,2021-12-23 00:00:00,LINK/USDT,19.923,22.214,19.557,22.166,21196405.07,444747479.70957,800266
1640131200000,2021-12-22 00:00:00,LINK/USDT,19.418,20.829,19.194,19.922,14997054.05,300709986.80011,555637
1640044800000,2021-12-21 00:00:00,LINK/USDT,18.779,19.660,18.362,19.415,12330881.70,234688334.66003,476914
1639958400000,2021-12-20 00:00:00,LINK/USDT,18.864,19.194,18.020,18.779,14873594.93,276630935.61051,565054
1639872000000,2021-12-19 00:00:00,LINK/USDT,19.533,20.390,18.795,18.864,16216689.32,317935391.80593,561295
1639785600000,2021-12-18 00:00:00,LINK/USDT,18.250,19.988,17.795,19.532,17062799.55,328162810.24693,641968
1639699200000,2021-12-17 00:00:00,LINK/USDT,18.762,19.218,17.728,18.250,17229062.28,319432477.35677,610207
1639612800000,2021-12-16 00:00:00,LINK/USDT,19.681,20.338,18.683,18.758,13959493.48,273633169.44647,549917
1639526400000,2021-12-15 00:00:00,LINK/USDT,18.419,19.981,17.250,19.679,22052120.42,408757188.27801,768530
1639440000000,2021-12-14 00:00:00,LINK/USDT,17.764,18.606,17.419,18.421,18827418.92,339639257.59356,644692
1639353600000,2021-12-13 00:00:00,LINK/USDT,20.404,20.556,17.289,17.764,23301561.76,432413694.14075,775204
1639267200000,2021-12-12 00:00:00,LINK/USDT,19.962,20.778,19.209,20.402,11350996.56,226341530.39612,480233
1639180800000,2021-12-11 00:00:00,LINK/USDT,18.536,20.199,18.147,19.967,14381055.09,277700806.18068,625096
1639094400000,2021-12-10 00:00:00,LINK/USDT,20.255,20.880,18.448,18.532,22512953.92,444218989.71354,827977
1639008000000,2021-12-09 00:00:00,LINK/USDT,22.913,23.049,20.233,20.257,22705776.74,485681785.21887,851734
1638921600000,2021-12-08 00:00:00,LINK/USDT,21.079,23.200,20.736,22.909,32135911.91,710751377.06844,1238190
1638835200000,2021-12-07 00:00:00,LINK/USDT,19.778,21.175,19.686,21.080,19705124.02,399987933.67646,713256
1638748800000,2021-12-06 00:00:00,LINK/USDT,19.485,19.912,17.215,19.782,21634338.14,398831967.60223,790833
1638662400000,2021-12-05 00:00:00,LINK/USDT,20.637,20.953,18.438,19.481,18037462.69,352403802.17398,695588
1638576000000,2021-12-04 00:00:00,LINK/USDT,23.299,23.366,15.033,20.637,46232129.23,890269214.32335,1354091
1638489600000,2021-12-03 00:00:00,LINK/USDT,24.552,25.850,22.192,23.302,16065651.92,391440028.23250,725139
1638403200000,2021-12-02 00:00:00,LINK/USDT,25.348,25.363,24.167,24.551,10136715.60,251329519.23598,503757
1638316800000,2021-12-01 00:00:00,LINK/USDT,25.343,26.916,24.966,25.347,12440958.24,323464123.20264,642104
1638230400000,2021-11-30 00:00:00,LINK/USDT,25.003,26.525,24.152,25.342,15123815.84,385271933.81575,775030
1638144000000,2021-11-29 00:00:00,LINK/USDT,24.772,25.606,24.511,25.004,10686245.96,267060352.99058,556042
1638057600000,2021-11-28 00:00:00,LINK/USDT,24.100,25.000,22.603,24.769,12117771.05,287544584.17865,624458
1637971200000,2021-11-27 00:00:00,LINK/USDT,23.962,25.002,23.778,24.103,10149531.11,247989821.84459,516201
1637884800000,2021-11-26 00:00:00,LINK/USDT,26.439,26.617,22.800,23.965,23755916.89,578494505.07996,1038994
1637798400000,2021-11-25 00:00:00,LINK/USDT,25.601,27.625,25.400,26.439,11890527.98,317211057.31093,604180
1637712000000,2021-11-24 00:00:00,LINK/USDT,26.964,27.178,25.177,25.601,10874584.08,283826706.82979,597242
1637625600000,2021-11-23 00:00:00,LINK/USDT,26.766,27.591,26.141,26.963,11212884.45,301699272.19213,602849
1637539200000,2021-11-22 00:00:00,LINK/USDT,29.005,29.095,26.300,26.767,13114148.64,359114900.64303,727874
1637452800000,2021-11-21 00:00:00,LINK/USDT,28.383,29.259,27.708,29.004,10114767.89,286678721.68139,563056
1637366400000,2021-11-20 00:00:00,LINK/USDT,28.279,28.737,27.280,28.383,10455310.89,294073974.71567,556567
1637280000000,2021-11-19 00:00:00,LINK/USDT,26.555,28.849,26.083,28.278,13801057.43,382305968.75813,674100
1637193600000,2021-11-18 00:00:00,LINK/USDT,29.214,29.722,25.800,26.547,20133282.70,556394451.14593,941974
1637107200000,2021-11-17 00:00:00,LINK/USDT,29.164,29.743,28.028,29.215,12192547.35,352960546.10245,720172
1637020800000,2021-11-16 00:00:00,LINK/USDT,32.081,32.091,27.520,29.164,25178345.49,752852464.26609,1214647
1636934400000,2021-11-15 00:00:00,LINK/USDT,33.770,34.538,32.003,32.090,11261366.19,377377742.10089,652353
1636848000000,2021-11-14 00:00:00,LINK/USDT,34.010,34.442,32.522,33.770,8749502.35,293070594.71299,546365
1636761600000,2021-11-13 00:00:00,LINK/USDT,34.272,34.616,33.198,34.010,9529663.25,322813779.03597,546891
1636675200000,2021-11-12 00:00:00,LINK/USDT,34.688,35.517,32.670,34.272,19036048.70,647431739.67948,995347
1636588800000,2021-11-11 00:00:00,LINK/USDT,34.234,36.969,33.371,34.690,24274420.28,857997577.08188,1095013
