https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1661299200000,2022-08-24 00:00:00,ETH/USDT,1664.19,1693.84,1605.00,1655.71,7245610.326,11946551543.69754,4845012
1661212800000,2022-08-23 00:00:00,ETH/USDT,1624.02,1680.00,1562.41,1664.19,8533214.781,13842148886.67689,5409440
1661126400000,2022-08-22 00:00:00,ETH/USDT,1617.17,1629.00,1528.00,1624.02,8702841.846,13698514100.45008,5736402
1661040000000,2022-08-21 00:00:00,ETH/USDT,1574.92,1648.70,1560.00,1617.17,6301946.927,10132763944.54036,4464716
1660953600000,2022-08-20 00:00:00,ETH/USDT,1608.29,1657.00,1520.64,1574.93,7333793.524,11770457029.84846,5034015
1660867200000,2022-08-19 00:00:00,ETH/USDT,1845.86,1847.65,1601.85,1608.29,10707278.713,18452074675.28043,7025072
1660780800000,2022-08-18 00:00:00,ETH/USDT,1833.55,1882.00,1820.11,1845.86,5330045.147,9902115271.66837,4328572
1660694400000,2022-08-17 00:00:00,ETH/USDT,1875.79,1957.70,1818.01,1833.55,8253584.130,15456235081.25482,5922176
1660608000000,2022-08-16 00:00:00,ETH/USDT,1898.55,1915.00,1850.00,1875.78,6218534.016,11706754821.45182,4354381
1660521600000,2022-08-15 00:00:00,ETH/USDT,1934.56,2012.94,1871.00,1898.56,7812767.162,15018776583.95025,5482428
1660435200000,2022-08-14 00:00:00,ETH/USDT,1982.79,2030.00,1905.00,1934.55,4960301.502,9772904219.56565,4268940
1660348800000,2022-08-13 00:00:00,ETH/USDT,1957.40,2019.00,1945.50,1982.80,5390461.793,10705002496.90554,4709258
1660262400000,2022-08-12 00:00:00,ETH/USDT,1879.35,1964.46,1852.00,1957.40,5535344.089,10503385045.46876,4668550
1660176000000,2022-08-11 00:00:00,ETH/USDT,1853.25,1943.00,1849.80,1879.35,7873808.723,14907737774.29255,6358628
1660089600000,2022-08-10 00:00:00,ETH/USDT,1702.04,1886.75,1655.00,1853.24,9215939.763,16379353776.41723,6837238
1660003200000,2022-08-09 00:00:00,ETH/USDT,1776.08,1790.00,1666.05,1702.04,6330296.526,10892575737.02873,5118754
1659916800000,2022-08-08 00:00:00,ETH/USDT,1699.25,1819.78,1693.15,1776.09,6333566.586,11180279823.20407,5056209
1659830400000,2022-08-07 00:00:00,ETH/USDT,1689.84,1729.39,1667.00,1699.25,3426181.998,5804010084.89889,3100771
1659744000000,2022-08-06 00:00:00,ETH/USDT,1737.12,1751.00,1685.03,1689.85,3673770.096,6311553238.84685,3195495
1659657600000,2022-08-05 00:00:00,ETH/USDT,1607.20,1743.40,1605.00,1737.13,7645714.788,12843741577.30625,5669716
1659571200000,2022-08-04 00:00:00,ETH/USDT,1617.37,1664.28,1580.00,1607.20,6186609.903,10013026532.58118,4613775
1659484800000,2022-08-03 00:00:00,ETH/USDT,1629.98,1685.91,1588.50,1617.37,5772165.287,9474080417.19574,4740351
1659398400000,2022-08-02 00:00:00,ETH/USDT,1629.45,1678.00,1557.80,1629.97,8048319.820,12978724614.80327,6249114
1659312000000,2022-08-01 00:00:00,ETH/USDT,1677.63,1704.32,1605.50,1629.45,5621692.061,9324464883.62185,4487162
1659225600000,2022-07-31 00:00:00,ETH/USDT,1696.68,1755.55,1666.00,1677.63,4341013.588,7400936551.22337,3852901
1659139200000,2022-07-30 00:00:00,ETH/USDT,1721.85,1744.00,1671.00,1696.68,4893669.344,8364186474.40813,4508506
1659052800000,2022-07-29 00:00:00,ETH/USDT,1723.83,1766.30,1656.00,1721.85,8322821.761,14239175682.25539,6414015
1658966400000,2022-07-28 00:00:00,ETH/USDT,1635.46,1784.50,1595.00,1723.82,9638750.264,16135851976.92102,7251257
1658880000000,2022-07-27 00:00:00,ETH/USDT,1448.28,1644.66,1420.22,1635.45,9108934.438,13818423664.79994,6915155
1658793600000,2022-07-26 00:00:00,ETH/USDT,1440.40,1455.00,1355.00,1448.27,7673932.806,10756084151.88800,5969522
1658707200000,2022-07-25 00:00:00,ETH/USDT,1597.77,1609.26,1433.20,1440.40,8130738.376,12331583506.62446,7086762
1658620800000,2022-07-24 00:00:00,ETH/USDT,1548.01,1664.90,1543.45,1597.77,6366445.957,10183471414.41454,5645954
1658534400000,2022-07-23 00:00:00,ETH/USDT,1534.53,1596.72,1485.53,1548.01,5150014.938,7926850191.05773,4803334
1658448000000,2022-07-22 00:00:00,ETH/USDT,1575.38,1646.30,1515.75,1534.53,6728238.217,10696578370.91302,5652560
1658361600000,2022-07-21 00:00:00,ETH/USDT,1521.26,1607.00,1462.30,1575.39,7325264.216,11149023837.25642,6179726
1658275200000,2022-07-20 00:00:00,ETH/USDT,1541.40,1620.00,1477.00,1521.34,8184052.839,12777657100.29962,6752239
1658188800000,2022-07-19 00:00:00,ETH/USDT,1580.12,1640.00,1492.57,1541.39,9494246.978,14678284685.59557,7810523
1658102400000,2022-07-18 00:00:00,ETH/USDT,1338.28,1597.19,1335.49,1580.12,9898091.920,14534269566.88306,7525806
1658016000000,2022-07-17 00:00:00,ETH/USDT,1355.38,1387.92,1316.00,1338.27,6374217.855,8620438757.41276,5219624
1657929600000,2022-07-16 00:00:00,ETH/USDT,1230.59,1440.57,1191.41,1355.37,8366413.063,10769354837.13322,6042295
1657843200000,2022-07-15 00:00:00,ETH/USDT,1193.01,1294.99,1180.74,1230.58,7636816.255,9358068233.24177,5495718
1657756800000,2022-07-14 00:00:00,ETH/USDT,1114.18,1216.90,1070.57,1193.01,7455813.799,8433152233.87695,5131517
1657670400000,2022-07-13 00:00:00,ETH/USDT,1037.88,1120.00,1005.00,1114.19,8490574.120,9015293731.15611,4958433
1657584000000,2022-07-12 00:00:00,ETH/USDT,1095.88,1097.51,1032.09,1037.88,5644661.921,6026006795.32593,3846893
1657497600000,2022-07-11 00:00:00,ETH/USDT,1167.81,1170.97,1091.10,1095.95,4532538.359,5159629837.34689,3182994
1657411200000,2022-07-10 00:00:00,ETH/USDT,1216.49,1219.50,1152.00,1167.81,3568244.792,4207542141.60389,2613499
1657324800000,2022-07-09 00:00:00,ETH/USDT,1213.53,1236.87,1203.75,1216.48,2797190.032,3405360762.76592,2238863
1657238400000,2022-07-08 00:00:00,ETH/USDT,1236.91,1277.00,1192.00,1213.53,6498615.367,7993846092.86714,4412044
1657152000000,2022-07-07 00:00:00,ETH/USDT,1186.36,1254.82,1162.93,1236.92,5320583.171,6422728354.47917,3715357
1657065600000,2022-07-06 00:00:00,ETH/USDT,1131.81,1205.45,1111.03,1186.37,6534667.739,7479228870.10764,4401264
1656979200000,2022-07-05 00:00:00,ETH/USDT,1150.23,1176.00,1075.00,1131.80,7139408.684,8047372440.06900,4737072
1656892800000,2022-07-04 00:00:00,ETH/USDT,1073.91,1160.68,1044.33,1150.23,5930747.625,6505251168.91222,3839661
