https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,tradecount
1629158400000,2021-08-17 00:00:00,LTC/USDT,178.01,184.58,168.02,168.69,3011471.054,535305879.93152,993935
1629072000000,2021-08-16 00:00:00,LTC/USDT,184.81,189.44,176.53,177.98,3280782.566,603655787.98805,954232
1628985600000,2021-08-15 00:00:00,LTC/USDT,182.85,186.82,175.10,184.80,3267037.163,591738440.87909,917903
1628899200000,2021-08-14 00:00:00,LTC/USDT,183.39,185.23,174.62,182.90,3123112.719,563378181.60562,951967
1628812800000,2021-08-13 00:00:00,LTC/USDT,165.44,184.68,164.00,183.39,3916573.471,695611288.99734,1042946
1628726400000,2021-08-12 00:00:00,LTC/USDT,170.66,179.95,160.83,165.41,3616041.860,611738567.88686,1036041
1628640000000,2021-08-11 00:00:00,LTC/USDT,165.44,176.25,164.39,170.67,3187187.069,545409701.73180,944443
1628553600000,2021-08-10 00:00:00,LTC/USDT,166.43,168.44,158.80,165.45,3477850.381,571077559.69121,1014591
1628467200000,2021-08-09 00:00:00,LTC/USDT,149.76,171.00,145.29,166.41,4367302.071,699358192.53195,1113387
1628380800000,2021-08-08 00:00:00,LTC/USDT,156.05,157.75,147.01,149.76,2415475.417,369024600.85458,785912
1628294400000,2021-08-07 00:00:00,LTC/USDT,148.05,156.50,147.09,156.03,3114598.965,476195623.24530,892679
1628208000000,2021-08-06 00:00:00,LTC/USDT,143.62,151.04,141.77,148.05,2688533.334,394023953.04386,812230
1628121600000,2021-08-05 00:00:00,LTC/USDT,142.60,145.26,136.07,143.62,2509821.987,353194039.26261,725959
1628035200000,2021-08-04 00:00:00,LTC/USDT,138.47,144.56,135.53,142.61,1723510.726,241855328.12367,606632
1627948800000,2021-08-03 00:00:00,LTC/USDT,141.34,143.24,135.50,138.48,1677883.338,232817251.54410,611228
1627862400000,2021-08-02 00:00:00,LTC/USDT,140.24,145.97,138.75,141.35,1798626.813,256207814.20412,661653
